submission_id,QUD,RT,age,comments,education,endTime,experiment_id,gender,id,languages,option1,option2,option3,option4,option5,optionLeft,optionRight,question,response,s1,s2,s3,s4,s5,startDate,startTime,text1,text2,timeSpent,trial_name,trial_number
3227,NA,NA,23,,Graduated High School,1630871800614,281,male,s3,german,Animal Products,Protesting,Vaccine against Covid-19,Abortion,Political Orientation,NA,NA,Which out of these topics do you care about the most?,Vaccine against Covid-19,NA,NA,NA,NA,NA,Sun Sep 05 2021 20:56:23 GMT+0100 (Britische Sommerzeit),1630871783689,NA,NA,0.28208333333333335,sentence_customized,1
3227,NA,NA,23,,Graduated High School,1630871800614,281,male,NA,german,NA,NA,NA,NA,NA,Strongly Disagree,Strongly Agree,NA,+5,People should not buy or eat animal products,It is alright if political protesters use violence to enforce their demands,Everybody who is medically suited to receive a vaccination against Covid-19 should get such a vaccination,Abortion should be illegal,I am politically oriented towards the left,Sun Sep 05 2021 20:56:23 GMT+0100 (Britische Sommerzeit),1630871783689,NA,NA,0.28208333333333335,rating_choice,1
3227,NA,NA,23,,Graduated High School,1630871800614,281,male,6,german,NA,NA,NA,NA,NA,Call the police and report the robbery.,"Nothing, and let the robber be on their way.",What do you do?,+3,NA,NA,NA,NA,NA,Sun Sep 05 2021 20:56:23 GMT+0100 (Britische Sommerzeit),1630871783689, <br/><br/>Approximately 60% of the other participants who agree with you on  your chosen issue chose to report the robber. <br/><br/> Approximately 85% of participants in a previous study who disagreed with you on  your chosen issue chose to let the robber go.,"Imagine you have witnessed someone rob a bank. However, you then saw them do something unexpected with the money. They donated it all to a run-down orphanage that would benefit greatly from the money. You must decide whether to call the police and report the robber or do nothing and leave the robber alone.",0.28208333333333335,moral_dilemma_2A,1
3227,NA,NA,23,,Graduated High School,1630871800614,281,male,s1,german,Participants chose which action they preferred.,"Due to a computer error, participants were not allocated equally to imagine performing the different actions.",No data was saved during the experiment.,The participants completed the experiment with their eyes closed.,I don't understand what is happening here.,NA,NA,"To ensure you understood the assignment, please click on which of the following statements is true.",Participants chose which action they preferred.,NA,NA,NA,NA,NA,Sun Sep 05 2021 20:56:23 GMT+0100 (Britische Sommerzeit),1630871783689,NA,NA,0.28208333333333335,understanding_choice,1
3227,,5455,23,,Graduated High School,1630871800614,281,male,NA,german,NA,NA,NA,NA,NA,happy,sad,How do you feel about your choice?,3,NA,NA,NA,NA,NA,Sun Sep 05 2021 20:56:23 GMT+0100 (Britische Sommerzeit),1630871783689,NA,NA,0.28208333333333335,emotions_fake,1
3224,NA,NA,63,,Graduated College,1630441369242,281,female,s3,"Portuguese, english and german",Animal Products,Protesting,Vaccine against Covid-19,Abortion,Political Orientation,NA,NA,Which out of these topics do you care about the most?,Vaccine against Covid-19,NA,NA,NA,NA,NA,Tue Aug 31 2021 22:21:29 GMT+0200 (Horário de Verão da Europa Central),1630441289585,NA,NA,1.3276166666666667,sentence_customized,1
3224,NA,NA,63,,Graduated College,1630441369242,281,female,NA,"Portuguese, english and german",NA,NA,NA,NA,NA,Strongly Disagree,Strongly Agree,NA,+4,People should not buy or eat animal products,It is alright if political protesters use violence to enforce their demands,Everybody who is medically suited to receive a vaccination against Covid-19 should get such a vaccination,Abortion should be illegal,I am politically oriented towards the left,Tue Aug 31 2021 22:21:29 GMT+0200 (Horário de Verão da Europa Central),1630441289585,NA,NA,1.3276166666666667,rating_choice,1
3224,NA,NA,63,,Graduated College,1630441369242,281,female,5,"Portuguese, english and german",NA,NA,NA,NA,NA,Call the police and report the robbery.,"Nothing, and let the robber be on their way.",What do you do?,+2,NA,NA,NA,NA,NA,Tue Aug 31 2021 22:21:29 GMT+0200 (Horário de Verão da Europa Central),1630441289585, <br/><br/>Approximately 60% of the other participants who agree with you on  your chosen issue chose to let the robber go. <br/><br/> Approximately 85% of participants in a previous study who disagreed with you on  your chosen issue chose to report the robber.,"Imagine you have witnessed someone rob a bank. However, you then saw them do something unexpected with the money. They donated it all to a run-down orphanage that would benefit greatly from the money. You must decide whether to call the police and report the robber or do nothing and leave the robber alone.",1.3276166666666667,moral_dilemma_2A,1
3224,NA,NA,63,,Graduated College,1630441369242,281,female,s1,"Portuguese, english and german",Participants chose which action they preferred.,"Due to a computer error, participants were not allocated equally to imagine performing the different actions.",No data was saved during the experiment.,The participants completed the experiment with their eyes closed.,I don't understand what is happening here.,NA,NA,"To ensure you understood the assignment, please click on which of the following statements is true.",Participants chose which action they preferred.,NA,NA,NA,NA,NA,Tue Aug 31 2021 22:21:29 GMT+0200 (Horário de Verão da Europa Central),1630441289585,NA,NA,1.3276166666666667,understanding_choice,1
3224,,10649,63,,Graduated College,1630441369242,281,female,NA,"Portuguese, english and german",NA,NA,NA,NA,NA,happy,sad,How do you feel about your choice?,1,NA,NA,NA,NA,NA,Tue Aug 31 2021 22:21:29 GMT+0200 (Horário de Verão da Europa Central),1630441289585,NA,NA,1.3276166666666667,emotions_fake,1
